objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
No._139,beregovski139.png,,,No. 139,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,
No._140,beregovski140.png,,,No. 140,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,
No._141,beregovski141.png,,,No. 141,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,
No._142,beregovski142.png,,,No. 142,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,
No._143,beregovski143.png,,,No. 143,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,
No._144,beregovski144.png,,,No. 144,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,
No._145,beregovski145.png,,,No. 145,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,
No._146,beregovski146.png,,,No. 146,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,
No._147,beregovski147.png,,,No. 147,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,
No._148,beregovski148.png,,,No. 148,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,
No._149,beregovski149.png,,,No. 149,Beregovski (trans.); Malin (encoded),,Skotshne,Minor,,,,2015,,dance,image/png,,,
No._150,beregovski150.png,,,No. 150,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,
No._151,beregovski151.png,,,No. 151,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,
No._152,beregovski152.png,,,No. 152,Beregovski (trans.); Malin (encoded),,Skotshne,Major,,,,2015,,dance,image/png,,,
No._153,beregovski153.png,,,No. 153,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,
No._154,beregovski154.png,,,No. 154,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,
No._155,beregovski155.png,,,No. 155,Beregovski (trans.); Malin (encoded),,Freylekhs,Major (Mixolydian),,,,2015,,dance,image/png,,,
No._156,beregovski156.png,,,No. 156,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,
No._157,beregovski157.png,,,No. 157,Beregovski (trans.); Malin (encoded),,Hopke,Major,,,,2015,,dance,image/png,,,
No._158,beregovski158.png,,,No. 158,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,
No._159,beregovski159.png,,,No. 159,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,
